temp	time
60.59	03:27:19
60.61	03:27:29
60.61	03:27:40
60.63	03:27:50
60.60	03:28:00
60.61	03:28:10
60.64	03:28:20
60.61	03:28:30
60.63	03:28:40
60.61	03:28:50
60.61	03:29:00
60.61	03:29:10
60.61	03:29:20
60.57	03:29:30
60.61	03:29:40
60.60	03:29:51
60.63	03:30:01
60.64	03:30:11
60.59	03:30:21
60.61	03:30:31
60.61	03:30:41
60.60	03:30:51
60.59	03:31:01
60.57	03:31:11
60.56	03:31:21
60.55	03:31:31
60.56	03:31:41
60.56	03:31:51
60.63	03:32:01
60.54	03:32:12
60.57	03:32:22
60.60	03:32:32
60.59	03:32:42
60.60	03:32:52
60.59	03:33:02
60.60	03:33:12
60.59	03:33:22
60.58	03:33:32
60.55	03:33:42
60.60	03:33:52
60.54	03:34:02
60.54	03:34:12
60.59	03:34:23
60.60	03:34:33
60.54	03:34:43
60.61	03:34:53
60.59	03:35:03
60.61	03:35:13
60.60	03:35:23
60.61	03:35:33
60.61	03:35:43
60.57	03:35:53
60.57	03:36:03
60.60	03:36:13
60.56	03:36:23
60.54	03:36:33
60.55	03:36:44
60.58	03:36:54
60.57	03:37:04
60.53	03:37:14
60.56	03:37:24
60.56	03:37:34
60.54	03:37:44
60.57	03:37:54
60.57	03:38:04
60.56	03:38:14
60.57	03:38:24
60.53	03:38:34
60.55	03:38:44
60.54	03:38:54
60.51	03:39:05
60.54	03:39:15
60.54	03:39:25
60.53	03:39:35
60.55	03:39:45
60.54	03:39:55
60.55	03:40:05
60.53	03:40:15
60.51	03:40:25
60.49	03:40:35
60.54	03:40:45
60.54	03:40:55
60.56	03:41:05
60.54	03:41:16
60.49	03:41:26
60.54	03:41:36
60.54	03:41:46
60.48	03:41:56
60.51	03:42:06
60.53	03:42:16
60.51	03:42:26
60.50	03:42:36
60.49	03:42:46
60.51	03:42:56
60.52	03:43:06
60.46	03:43:16
60.45	03:43:26
60.45	03:43:37
60.46	03:43:47
60.44	03:43:57
60.56	03:44:07
60.53	03:44:17
60.48	03:44:27
60.47	03:44:37
60.45	03:44:47
60.44	03:44:57
60.44	03:45:07
60.50	03:45:17
60.47	03:45:27
60.39	03:45:37
60.44	03:45:48
60.45	03:45:58
60.42	03:46:08
60.41	03:46:18
60.38	03:46:28
60.45	03:46:38
60.46	03:46:48
60.48	03:46:58
60.47	03:47:08
60.48	03:47:18
60.50	03:47:28
60.47	03:47:38
60.46	03:47:48
60.50	03:47:58
60.48	03:48:09
60.45	03:48:19
60.46	03:48:29
60.42	03:48:39
60.36	03:48:49
60.39	03:48:59
60.42	03:49:09
60.42	03:49:19
60.38	03:49:29
60.36	03:49:39
60.34	03:49:49
60.40	03:49:59
60.40	03:50:09
60.45	03:50:19
60.39	03:50:30
60.28	03:50:40
60.35	03:50:50
60.42	03:51:00
60.39	03:51:10
60.47	03:51:20
60.43	03:51:30
60.37	03:51:40
60.35	03:51:50
60.34	03:52:00
60.42	03:52:10
60.36	03:52:20
60.29	03:52:30
60.39	03:52:41
60.32	03:52:51
60.42	03:53:01
60.35	03:53:11
60.41	03:53:21
60.45	03:53:31
60.33	03:53:41
60.27	03:53:51
60.35	03:54:01
60.30	03:54:11
60.32	03:54:21
60.38	03:54:31
